what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302135588784
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135597210
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135610817
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302135614371
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135617826
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135620454
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1302135622957
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1302135625804
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135633605
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135635920
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302135641835
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1302135644268
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135644653
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135645731
started,bundle,org.eclipse.wst.html.core,1.1.402.v201008311901,"org.eclipse.wst.html.core",1302135645923
started,bundle,org.eclipse.wst.css.core,1.1.401.v201008161749,"org.eclipse.wst.css.core",1302135646012
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135657582
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135659185
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135659225
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135661576
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1302135661585
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302135665550
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302135665589
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1302135674948
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1302135677051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135684303
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135690778
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1302135690791
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302135692839
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302135701161
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135704168
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135706168
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1302135706183
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302135706224
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302135706247
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1302135710667
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135711392
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135731790
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1302135731802
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135735046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302135769107
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1302135778124
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1302135794371
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.publish",1302135806781
