what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1302233436650
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1302233436697
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1302233436759
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1302233436915
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1302233436915
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233437430
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1302233437445
started,bundle,org.eclipse.jst.j2ee.ui,1.1.402.v201009080200,"org.eclipse.jst.j2ee.ui",1302233437508
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.401.v201007150400,"org.eclipse.jst.j2ee.ejb",1302233437570
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1302233437586
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1302233437586
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1302233437586
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1302233437695
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233442937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233447273
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1302233447289
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1302233447788
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302233449239
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1302233454044
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233454309
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233454652
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1302233458833
started,bundle,org.eclipse.jst.jee.ui,1.0.302.v201009011600,"org.eclipse.jst.jee.ui",1302233460221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233460409
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1302233460455
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1302233460471
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233462764
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1302233462811
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1302233463045
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302233463872
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1302233465542
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302233465698
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302233465729
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1302233537432
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233539164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233545294
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1302233549631
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302233549631
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302233550846
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1302233550846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1302233563794
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1302233573357
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233576820
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233585744
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233593762
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233682867
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1302233682898
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302233685722
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1302233687407
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302233700012
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1302233701120
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233704755
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233705722
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233705738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233705831
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1302233705831
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302233708218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233712804
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233714442
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233714489
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233716377
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1302233716392
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233718437
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302233720717
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302233720732
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302233720748
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1302233724083
