what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141746795
started,bundle,org.eclipse.jst.jsf.common,1.2.1.v20100827,"org.eclipse.jst.jsf.common",1302141746816
started,bundle,org.eclipse.jst.jsf.core,1.3.2.v20100906,"org.eclipse.jst.jsf.core",1302141746829
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1302141746887
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141752802
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141754015
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.javaAppletShortcut.run",1302141754023
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141758723
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141761481
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1302141761520
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302141764257
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302141764284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141768692
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141774632
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141778195
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141803121
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302141805013
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1302141805208
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1302141811386
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302141813396
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1302141815211
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141821915
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141823246
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141823270
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141824993
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1302141825008
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141827051
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302141829062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141829118
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302141829173
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302141859293
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141881793
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1302141883300
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1302141883307
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141883553
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1302141883566
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141891732
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141893135
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141893159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141894532
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1302141894544
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302141898756
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302141898791
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302141898809
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302142045936
