what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302136844159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302136846702
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302136863625
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302136864098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302136867385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302136902770
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302136924765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137058836
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302137058859
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302137073945
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137085152
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137161522
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137176784
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137327764
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1302137331448
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137336386
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137337492
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137337508
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137337617
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1302137337619
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302137338990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137344498
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137348998
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137349027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137351700
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.launchShortcut.run",1302137351714
error,log,,,"Server Tomcat v6.0 Server at localhost failed to start.",1302137353184
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302137353345
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302137353374
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137353455
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137357896
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1302137377274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137378166
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137446150
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302137447926
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1302137466302
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302137474807
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1302137477970
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302137488512
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1302137496742
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137501602
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137502822
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137502839
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137502923
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1302137502925
error,log,,,"Task failed",1302137502964
error,log,,,"Could not delete C:\\Projects\\Hierarchy\\03__Samples\\SampleProjects\\.metadata\\.plugins\\org.eclipse.wst.server.core\\tmp0\\wtpwebapps\\MatrixWebSample_Basic_Eclipse\\WEB-INF\\classes\\org\\apache. May be locked by another process.",1302137503012
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137503060
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1302137504584
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1302137511576
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1302137512653
